message,pos_es,pos_en,full_verb_es,full_verb_en,percentage,inactive,comments
"AGENT=PRON;ACTION=;RECIPIENT=;PATIENT=;E=PROG,AGT,-1,PAT,REC,PRESENT",pron aux:singular:present verb:double gerund_suffix:ing prep:to det noun:animate det noun:inanimate,pron aux:singular:present verb:double gerund_suffix:ing det noun:animate det noun:inanimate,pron aux:singular:present verb:double:participle prep:to det noun:animate det noun:inanimate,pron aux:singular:present verb:double:participle det noun:animate det noun:inanimate,,,pron
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;RECIPIENT=;E=SIMPLE,AGT,PAT,REC,PRESENT",det noun:animate adj:animate verb:double verb_suffix::present det noun:inanimate prep:to det noun:animate,det adj:animate noun:animate verb:double verb_suffix::present det noun:inanimate prep:to det noun:animate,det noun:animate adj:animate verb:double:simple det noun:inanimate prep:to det noun:animate,det adj:animate noun:animate verb:double:simple det noun:inanimate prep:to det noun:animate,,,
"AGENT=;ACTION=;PATIENT=;RECIPIENT=;E=SIMPLE,AGT,PAT,REC,PRESENT",det noun:animate verb:double verb_suffix::present det noun:inanimate prep:to det noun:animate,det noun:animate verb:double verb_suffix::present det noun:inanimate prep:to det noun:animate,det noun:animate verb:double:simple det noun:inanimate prep:to det noun:animate,det noun:animate verb:double:simple det noun:inanimate prep:to det noun:animate,,,no adj
"AGENT=PRON;ACTION=;PATIENT=;RECIPIENT=;E=SIMPLE,AGT,PAT,REC,PRESENT",pron verb:double verb_suffix::present det noun:inanimate prep:to det noun:animate,pron verb:double verb_suffix::present det noun:inanimate prep:to det noun:animate,pron verb:double:simple det noun:inanimate prep:to det noun:animate,pron verb:double:simple det noun:inanimate prep:to det noun:animate,,,pron
"AGENT=;AGENT-MOD=;ACTION=;RECIPIENT=;PATIENT=;E=SIMPLE,AGT,-1,PAT,REC,PRESENT",det noun:animate adj:animate verb:double verb_suffix::present prep:to det noun:animate det noun:inanimate,det adj:animate noun:animate verb:double verb_suffix::present det noun:animate det noun:inanimate,det noun:animate adj:animate verb:double:simple prep:to det noun:animate det noun:inanimate,det adj:animate noun:animate verb:double:simple det noun:animate det noun:inanimate,,,
"AGENT=;ACTION=;RECIPIENT=;PATIENT=;E=SIMPLE,AGT,-1,PAT,REC,PRESENT",det noun:animate verb:double verb_suffix::present prep:to det noun:animate det noun:inanimate,det noun:animate verb:double verb_suffix::present det noun:animate det noun:inanimate,det noun:animate verb:double:simple prep:to det noun:animate det noun:inanimate,det noun:animate verb:double:simple det noun:animate det noun:inanimate,,,no adj
"AGENT=PRON;ACTION=;RECIPIENT=;PATIENT=;E=SIMPLE,AGT,-1,PAT,REC,PRESENT",pron verb:double verb_suffix::present prep:to det noun:animate det noun:inanimate,pron verb:double verb_suffix::present det noun:animate det noun:inanimate,pron verb:double:simple prep:to det noun:animate det noun:inanimate,pron verb:double:simple det noun:animate det noun:inanimate,,,pron
"AGENT=;AGENT-MOD=;ACTION=;E=PROG,AGT,PAST",det noun:animate adj:animate prep:with det noun:inanimate aux:singular:past verb:intrans gerund_suffix:ing,det adj:animate noun:animate prep:with det noun:inanimate aux:singular:past verb:intrans gerund_suffix:ing,det noun:animate adj:animate prep:with det noun:inanimate aux:singular:past verb:intrans:participle,det adj:animate noun:animate prep:with det noun:inanimate aux:singular:past verb:intrans:participle,,Y,"past, with-structure"
"AGENT=;AGENT-MOD=;ACTION=;E=PROG,AGT,PAST",det noun:animate adj:animate aux:singular:past verb:intrans gerund_suffix:ing,det adj:animate noun:animate aux:singular:past verb:intrans gerund_suffix:ing,det noun:animate adj:animate aux:singular:past verb:intrans:participle,det adj:animate noun:animate aux:singular:past verb:intrans:participle,,,past
"AGENT=;ACTION=;E=PROG,AGT,PAST",det noun:animate aux:singular:past verb:intrans gerund_suffix:ing,det noun:animate aux:singular:past verb:intrans gerund_suffix:ing,det noun:animate aux:singular:past verb:intrans:participle,det noun:animate aux:singular:past verb:intrans:participle,,,"past, no adj"
"AGENT=PRON;ACTION=;E=PROG,AGT,PAST",pron aux:singular:past verb:intrans gerund_suffix:ing,pron aux:singular:past verb:intrans gerund_suffix:ing,pron aux:singular:past verb:intrans:participle,pron aux:singular:past verb:intrans:participle,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;E=SIMPLE,AGT,PAST",det noun:animate adj:animate verb:intrans verb_suffix::past,det adj:animate noun:animate verb:intrans verb_suffix::past,det noun:animate adj:animate verb:intrans:simple,det adj:animate noun:animate verb:intrans:simple,,,past
"AGENT=;ACTION=;E=SIMPLE,AGT,PAST",det noun:animate verb:intrans verb_suffix::past,det noun:animate verb:intrans verb_suffix::past,det noun:animate verb:intrans:simple,det noun:animate verb:intrans:simple,,,"past, no adj"
"AGENT=PRON;ACTION=;E=SIMPLE,AGT,PAST",pron verb:intrans verb_suffix::past,pron verb:intrans verb_suffix::past,pron verb:intrans:simple:past,pron verb:intrans:simple:past,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;E=PROG,AGT,PAT,PAST",det noun:animate adj:animate aux:singular:past verb:trans gerund_suffix:ing det noun,det adj:animate noun:animate aux:singular:past verb:trans gerund_suffix:ing det noun,det noun:animate adj:animate aux:singular:past verb:trans:participle det noun,det adj:animate noun:animate aux:singular:past verb:trans:participle det noun,,,past
"AGENT=;ACTION=;PATIENT=;E=PROG,AGT,PAT,PAST",det noun:animate aux:singular:past verb:trans gerund_suffix:ing det noun,det noun:animate aux:singular:past verb:trans gerund_suffix:ing det noun,det noun:animate aux:singular:past verb:trans:participle det noun,det noun:animate aux:singular:past verb:trans:participle det noun,,,"past, no adj"
"AGENT=PRON;ACTION=;PATIENT=;E=PROG,AGT,PAT,PAST",pron aux:singular:past verb:trans gerund_suffix:ing det noun,pron aux:singular:past verb:trans gerund_suffix:ing det noun,pron aux:singular:past verb:trans:participle det noun,pron aux:singular:past verb:trans:participle det noun,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;E=SIMPLE,AGT,PAT,PAST",det noun:animate adj:animate verb:trans verb_suffix::past det noun,det adj:animate noun:animate verb:trans verb_suffix::past det noun,det noun:animate adj:animate verb:trans:simple det noun,det adj:animate noun:animate verb:trans:simple det noun,,,past
"AGENT=;ACTION=;PATIENT=;E=SIMPLE,AGT,PAT,PAST",det noun:animate verb:trans verb_suffix::past det noun,det noun:animate verb:trans verb_suffix::past det noun,det noun:animate verb:trans:simple det noun,det noun:animate verb:trans:simple det noun,,,"past, no adj"
"AGENT=PRON;ACTION=;PATIENT=;E=SIMPLE,AGT,PAT,PAST",pron verb:trans verb_suffix::past det noun,pron verb:trans verb_suffix::past det noun,pron verb:trans:simple det noun,pron verb:trans:simple det noun,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;RECIPIENT=;E=PROG,AGT,PAT,REC,PAST",det noun:animate adj:animate aux:singular:past verb:double gerund_suffix:ing det noun:inanimate prep:to det noun:animate,det adj:animate noun:animate aux:singular:past verb:double gerund_suffix:ing det noun:inanimate prep:to det noun:animate,det noun:animate adj:animate aux:singular:past verb:double:participle det noun:inanimate prep:to det noun:animate,det adj:animate noun:animate aux:singular:past verb:double:participle det noun:inanimate prep:to det noun:animate,,,past
"AGENT=;ACTION=;PATIENT=;RECIPIENT=;E=PROG,AGT,PAT,REC,PAST",det noun:animate aux:singular:past verb:double gerund_suffix:ing det noun:inanimate prep:to det noun:animate,det noun:animate aux:singular:past verb:double gerund_suffix:ing det noun:inanimate prep:to det noun:animate,det noun:animate aux:singular:past verb:double:participle det noun:inanimate prep:to det noun:animate,det noun:animate aux:singular:past verb:double:participle det noun:inanimate prep:to det noun:animate,,,"past, no adj"
"AGENT=PRON;ACTION=;PATIENT=;RECIPIENT=;E=PROG,AGT,PAT,REC,PAST",pron aux:singular:past verb:double gerund_suffix:ing det noun:inanimate prep:to det noun:animate,pron aux:singular:past verb:double gerund_suffix:ing det noun:inanimate prep:to det noun:animate,pron aux:singular:past verb:double:participle det noun:inanimate prep:to det noun:animate,pron aux:singular:past verb:double:participle det noun:inanimate prep:to det noun:animate,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;RECIPIENT=;PATIENT=;E=PROG,AGT,-1,PAT,REC,PAST",det noun:animate adj:animate aux:singular:past verb:double gerund_suffix:ing prep:to det noun:animate det noun:inanimate,det adj:animate noun:animate aux:singular:past verb:double gerund_suffix:ing det noun:animate det noun:inanimate,det noun:animate adj:animate aux:singular:past verb:double:participle prep:to det noun:animate det noun:inanimate,det adj:animate noun:animate aux:singular:past verb:double:participle det noun:animate det noun:inanimate,,,past
"AGENT=;ACTION=;RECIPIENT=;PATIENT=;E=PROG,AGT,-1,PAT,REC,PAST",det noun:animate aux:singular:past verb:double gerund_suffix:ing prep:to det noun:animate det noun:inanimate,det noun:animate aux:singular:past verb:double gerund_suffix:ing det noun:animate det noun:inanimate,det noun:animate aux:singular:past verb:double:participle prep:to det noun:animate det noun:inanimate,det noun:animate aux:singular:past verb:double:participle det noun:animate det noun:inanimate,,,"past, no adj"
"AGENT=PRON;ACTION=;RECIPIENT=;PATIENT=;E=PROG,AGT,-1,PAT,REC,PAST",pron aux:singular:past verb:double gerund_suffix:ing prep:to det noun:animate det noun:inanimate,pron aux:singular:past verb:double gerund_suffix:ing det noun:animate det noun:inanimate,pron aux:singular:past verb:double:participle prep:to det noun:animate det noun:inanimate,pron aux:singular:past verb:double:participle det noun:animate det noun:inanimate,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;PATIENT=;RECIPIENT=;E=SIMPLE,AGT,PAT,REC,PAST",det noun:animate adj:animate verb:double verb_suffix::past det noun:inanimate prep:to det noun:animate,det adj:animate noun:animate verb:double verb_suffix::past det noun:inanimate prep:to det noun:animate,det noun:animate adj:animate verb:double:simple det noun:inanimate prep:to det noun:animate,det adj:animate noun:animate verb:double:simple det noun:inanimate prep:to det noun:animate,,,past
"AGENT=;ACTION=;PATIENT=;RECIPIENT=;E=SIMPLE,AGT,PAT,REC,PAST",det noun:animate verb:double verb_suffix::past det noun:inanimate prep:to det noun:animate,det noun:animate verb:double verb_suffix::past det noun:inanimate prep:to det noun:animate,det noun:animate verb:double:simple det noun:inanimate prep:to det noun:animate,det noun:animate verb:double:simple det noun:inanimate prep:to det noun:animate,,,"past, no adj"
"AGENT=PRON;ACTION=;PATIENT=;RECIPIENT=;E=SIMPLE,AGT,PAT,REC,PAST",pron verb:double verb_suffix::past det noun:inanimate prep:to det noun:animate,pron verb:double verb_suffix::past det noun:inanimate prep:to det noun:animate,pron verb:double:simple det noun:inanimate prep:to det noun:animate,pron verb:double:simple det noun:inanimate prep:to det noun:animate,,,"past, pron"
"AGENT=;AGENT-MOD=;ACTION=;RECIPIENT=;PATIENT=;E=SIMPLE,AGT,-1,PAT,REC,PAST",det noun:animate adj:animate verb:double verb_suffix::past prep:to det noun:animate det noun:inanimate,det adj:animate noun:animate verb:double verb_suffix::past det noun:animate det noun:inanimate,det noun:animate adj:animate verb:double:simple prep:to det noun:animate det noun:inanimate,det adj:animate noun:animate verb:double:simple det noun:animate det noun:inanimate,,,past
"AGENT=;ACTION=;RECIPIENT=;PATIENT=;E=SIMPLE,AGT,-1,PAT,REC,PAST",det noun:animate verb:double verb_suffix::past prep:to det noun:animate det noun:inanimate,det noun:animate verb:double verb_suffix::past det noun:animate det noun:inanimate,det noun:animate verb:double:simple prep:to det noun:animate det noun:inanimate,det noun:animate verb:double:simple det noun:animate det noun:inanimate,,,"past, no adj"
"AGENT=PRON;ACTION=;RECIPIENT=;PATIENT=;E=SIMPLE,AGT,-1,PAT,REC,PAST",pron verb:double verb_suffix::past prep:to det noun:animate det noun:inanimate,pron verb:double verb_suffix::past det noun:animate det noun:inanimate,pron verb:double:simple prep:to det noun:animate det noun:inanimate,pron verb:double:simple det noun:animate det noun:inanimate,,,"past, pron"
