message,es,percentage_es,en,percentage_en,comments
"AGENT=;AAL=;RECIPIENT=;PATIENT=;E=PRESENT,PERFECT",det noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect prep:to det noun:animate det noun:inanimate,,det noun:animate aux::present:perfect:singular verb_prefix:double participle_suffix:::perfect det noun:animate det noun:inanimate,,present perfect double receipient first
"AGENT=;AGENT-MOD=;AAL=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:intrans verb_suffix::present,,det adj:animate noun:animate verb_prefix:intrans verb_suffix::present,,simple_present_intransitive_adj
"AGENT=;AAL=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:intrans verb_suffix::present,,det noun:animate verb_prefix:intrans verb_suffix::present,,simple_present_intransitive
"AGENT=pron;AAL=;E=SIMPLE,PRESENT",pron verb_prefix:intrans verb_suffix::present,,pron verb_prefix:intrans verb_suffix::present,,simple_present_intransitive_pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:trans verb_suffix::present det noun:inanimate,,det adj:animate noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,,simple_present_transitive_adj
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,,det noun:animate verb_prefix:trans verb_suffix::present det noun:inanimate,,simple_present_transitive
"AGENT=pron;AAL=;PATIENT=;E=SIMPLE,PRESENT",pron verb_prefix:trans verb_suffix::present det noun:inanimate,,pron verb_prefix:trans verb_suffix::present det noun:inanimate,,simple_present_transitive_pron
"AGENT=;AGENT-MOD=;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,,det adj:animate noun:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,,simple_present_double_adj
"AGENT=;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,,det noun:animate verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,,simple_present_double
"AGENT=pron;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PRESENT",pron verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,,pron verb_prefix:double verb_suffix::present det noun:inanimate prep:to det noun:animate,,simple_present_double_pron
"AGENT=;AGENT-MOD=;AAL=;RECIPIENT=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate adj:animate verb_prefix:double verb_suffix::present prep:to det noun:animate det noun:inanimate,,det adj:animate noun:animate verb_prefix:double verb_suffix::present det noun:animate det noun:inanimate,,simple_present_double_RECIPIENT_first
"AGENT=;AAL=;RECIPIENT=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:double verb_suffix::present prep:to det noun:animate det noun:inanimate,,det noun:animate verb_prefix:double verb_suffix::present det noun:animate det noun:inanimate,,simple_present_double_noadj_RECIPIENT_first
"AGENT=;AAL=;ATTR=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:copular:present adj:animate,,det noun:animate verb_prefix:copular:present adj:animate,3,be_attr_simple_present
"AGENT=pron;AAL=;ATTR=;E=SIMPLE,PRESENT",pron verb_prefix:copular:present adj:animate,,pron verb_prefix:copular:present adj:animate,3,be_attr_pron simple present
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PRESENT",det noun:animate verb_prefix:possession:present det noun:inanimate,,det noun:animate verb_prefix:possession:present det noun:inanimate,,has simple present
"AGENT=pron;AAL=;PATIENT=;E=SIMPLE,PRESENT",pron verb_prefix:possession:present det noun:inanimate,,pron verb_prefix:possession:present det noun:inanimate,,has_pron simple present
"AGENT=;AGENT-MOD=;AAL=;E=SIMPLE,PAST",det noun:animate adj:animate verb_prefix:intrans verb_suffix::past,,det adj:animate noun:animate verb_prefix:intrans verb_suffix::past,,simple_past_intransitive adj
"AGENT=;AAL=;E=SIMPLE,PAST",det noun:animate verb_prefix:intrans verb_suffix::past,,det noun:animate verb_prefix:intrans verb_suffix::past,,simple_past intransitive
"AGENT=;AAL=;PATIENT=;E=SIMPLE,PAST",det noun:animate verb_prefix:trans verb_suffix::past det noun:inanimate,,det noun:animate verb_prefix:trans verb_suffix::past det noun:inanimate,,simple_past_transitive
"AGENT=;AAL=;PATIENT=;RECIPIENT=;E=SIMPLE,PAST",det noun:animate verb_prefix:double verb_suffix::past det noun:inanimate prep:to det noun:animate,,det noun:animate verb_prefix:double verb_suffix::past det noun:inanimate prep:to det noun:animate,,simple_past_double
